symbol,GridScore,med_turnover_cr,ann_vol,choppiness,efficiency_ratio,hurst,atr_pct,total_ret,max_dd,last_close,days,corp_actions
CREDITACC,0.902,30.159,0.4,0.97,0.03,0.278,0.035,0.129,-0.232,1419.6,238,0
JINDALSAW,0.878,34.59,0.459,0.973,0.027,0.395,0.035,0.105,-0.353,264.06,238,0
GOKULAGRO,0.878,8.836,0.444,0.883,0.117,0.524,0.043,0.704,-0.296,225.67,238,1
KRBL,0.874,18.143,0.445,0.995,0.005,0.55,0.038,0.022,-0.427,383.4,238,0
JBMA,0.868,22.239,0.444,0.981,0.019,0.427,0.035,0.077,-0.344,706.5,238,0
ATGL,0.861,37.269,0.488,0.977,0.023,0.329,0.034,0.086,-0.401,724.35,238,0
TI,0.847,28.615,0.392,0.953,0.047,0.525,0.037,0.257,-0.264,433.85,238,0
VAIBHAVGBL,0.799,6.307,0.425,0.986,0.014,0.493,0.038,0.063,-0.376,251.2,238,0
SAMMAANCAP,0.799,172.433,0.428,0.95,0.05,0.476,0.037,0.242,-0.316,174.4,238,0
PARAS,0.787,39.779,0.497,0.893,0.107,0.473,0.041,0.464,-0.374,1310.3,238,1
VINCOFE,0.765,24.091,0.378,0.974,0.026,0.415,0.039,0.128,-0.298,151.27,238,0
NEULANDLAB,0.757,58.99,0.435,0.923,0.077,0.437,0.039,0.45,-0.362,17220.0,238,0
OLECTRA,0.755,54.347,0.473,0.962,0.038,0.496,0.038,0.191,-0.473,1446.6,238,0
AZAD,0.702,25.927,0.391,0.944,0.056,0.554,0.035,0.256,-0.216,2067.7,238,0
SUPRIYA,0.681,11.038,0.441,0.933,0.067,0.513,0.037,0.287,-0.311,932.25,238,0
KPRMILL,0.646,25.487,0.425,0.981,0.019,0.489,0.036,0.071,-0.348,1186.4,238,0
NAVA,0.614,20.105,0.391,0.994,0.006,0.484,0.035,0.024,-0.295,607.3,238,0
THANGAMAYL,0.612,21.414,0.545,0.799,0.201,0.525,0.045,1.887,-0.202,5435.7,238,0
SGFIN,0.59,5.698,0.421,0.892,0.108,0.517,0.041,0.465,-0.242,583.45,213,0
LGBBROSLTD,0.56,5.324,0.39,0.96,0.04,0.502,0.035,0.2,-0.274,1549.9,238,0
RELIGARE,0.544,27.767,0.393,0.978,0.022,0.36,0.036,0.097,-0.306,247.63,238,0
ENGINERSIN,0.541,48.304,0.425,0.984,0.016,0.587,0.034,0.061,-0.343,253.15,238,0
THYROCARE,0.532,14.219,0.406,0.897,0.103,0.544,0.044,0.632,-0.347,534.4,238,1
GPIL,0.515,50.14,0.373,0.92,0.08,0.528,0.035,0.468,-0.2,270.55,238,0
MSTCLTD,0.514,7.586,0.454,0.933,0.067,0.506,0.036,0.273,-0.339,687.6,238,0
AVALON,0.509,19.729,0.519,0.836,0.164,0.508,0.046,1.134,-0.366,1755.3,238,0
BORORENEW,0.508,24.668,0.43,0.962,0.038,0.544,0.039,0.204,-0.461,595.2,238,0
UJJIVANSFB,0.502,51.255,0.383,0.959,0.041,0.457,0.033,0.191,-0.228,58.62,238,0
ADVENZYMES,0.495,5.077,0.396,0.963,0.037,0.477,0.036,0.146,-0.292,373.4,238,0
ANGELONE,0.492,192.478,0.42,0.951,0.049,0.543,0.034,0.202,-0.283,352.8,238,1
PRICOLLTD,0.489,17.78,0.379,0.956,0.044,0.521,0.034,0.232,-0.252,559.4,238,0
VOLTAMP,0.458,27.534,0.402,0.994,0.006,0.546,0.033,0.022,-0.311,10031.0,238,0
AMBER,0.445,216.259,0.426,0.973,0.027,0.538,0.033,0.125,-0.354,7965.5,238,0
TBOTEK,0.434,12.33,0.397,0.997,0.003,0.446,0.038,0.012,-0.412,1465.2,238,0
PRUDENT,0.427,6.743,0.375,0.97,0.03,0.49,0.037,0.133,-0.294,2954.7,238,0
WAAREEENER,0.355,397.717,0.408,1.0,0.0,0.48,0.033,0.001,-0.353,3065.9,238,0
DCBBANK,0.353,23.128,0.382,0.941,0.059,0.553,0.033,0.265,-0.214,185.97,238,0
FIEMIND,0.343,12.323,0.362,0.96,0.04,0.426,0.035,0.181,-0.249,2289.5,238,0
SKIPPER,0.338,14.381,0.403,0.982,0.018,0.562,0.038,0.074,-0.419,547.05,238,0
MARKSANS,0.333,15.712,0.404,0.996,0.004,0.599,0.036,0.011,-0.404,261.45,238,0
ACMESOLAR,0.305,25.568,0.403,0.931,0.069,0.517,0.04,0.334,-0.376,331.9,238,0
VENUSPIPES,0.305,6.105,0.42,0.978,0.022,0.559,0.038,0.094,-0.454,1482.4,238,0
NLCINDIA,0.283,40.672,0.375,0.91,0.09,0.456,0.035,0.425,-0.172,323.75,238,0
IIFL,0.259,66.722,0.406,0.973,0.027,0.472,0.035,0.128,-0.37,529.2,238,0
NAM-INDIA,0.232,67.129,0.388,0.911,0.089,0.389,0.033,0.445,-0.186,1167.4,238,0
KARURVYSYA,0.2,58.473,0.386,0.978,0.022,0.509,0.031,0.083,-0.259,296.75,238,0
ZYDUSWELL,0.184,9.34,0.375,0.945,0.055,0.528,0.037,0.238,-0.295,504.65,238,1
ASAHIINDIA,0.177,9.343,0.349,0.985,0.015,0.381,0.034,0.068,-0.264,861.3,238,0
CCL,0.149,18.758,0.341,0.922,0.078,0.382,0.035,0.351,-0.148,1132.4,238,0
TDPOWERSYS,0.136,58.131,0.475,0.821,0.179,0.479,0.044,1.54,-0.239,1269.0,238,0
WELENT,0.11,7.295,0.353,0.983,0.017,0.472,0.034,0.062,-0.271,570.35,238,0
USHAMART,0.023,17.841,0.344,0.927,0.073,0.471,0.034,0.346,-0.196,490.8,238,0
MUFIN,0.005,8.215,0.392,0.876,0.124,0.43,0.038,0.664,-0.222,128.66,238,0
VARROC,0.001,7.357,0.353,0.981,0.019,0.46,0.034,0.076,-0.302,613.35,238,0
JSL,-0.007,45.772,0.328,1.0,0.0,0.335,0.032,0.0,-0.235,707.0,238,0
SHRIPISTON,-0.01,16.774,0.385,0.888,0.112,0.418,0.036,0.554,-0.209,3807.2,238,0
MBAPL,-0.021,7.588,0.34,0.914,0.086,0.319,0.037,0.35,-0.172,565.9,238,0
VSTTILLERS,-0.041,7.512,0.348,0.958,0.042,0.457,0.035,0.229,-0.305,4549.3,238,0
TRIVENI,-0.05,10.445,0.327,0.977,0.023,0.457,0.031,0.076,-0.18,405.55,238,0
AARTIIND,-0.054,26.011,0.379,0.999,0.001,0.508,0.029,0.004,-0.298,486.45,238,0
PRIVISCL,-0.072,22.939,0.389,0.895,0.105,0.428,0.035,0.521,-0.228,3463.6,238,0
ABDL,-0.074,18.994,0.413,0.917,0.083,0.582,0.038,0.474,-0.438,632.8,238,0
PAYTM,-0.084,304.485,0.368,0.966,0.034,0.457,0.031,0.176,-0.299,1093.9,238,0
NUVAMA,-0.108,65.784,0.37,0.982,0.018,0.429,0.032,0.062,-0.315,1720.4,238,1
BSE,-0.115,1115.831,0.408,0.908,0.092,0.46,0.033,0.447,-0.277,4014.5,238,0
EMCURE,-0.124,21.243,0.333,0.915,0.085,0.272,0.035,0.368,-0.155,1753.2,238,0
M&MFIN,-0.136,64.481,0.361,0.978,0.022,0.511,0.032,0.108,-0.318,296.05,238,0
SJS,-0.148,17.38,0.383,0.867,0.133,0.439,0.038,0.77,-0.202,2216.1,238,0
AETHER,-0.162,13.682,0.369,0.887,0.113,0.44,0.035,0.524,-0.16,1154.5,238,0
MCX,-0.18,591.127,0.376,0.898,0.102,0.437,0.032,0.542,-0.203,2817.2,238,1
TRAVELFOOD,-0.193,9.801,0.336,0.939,0.061,0.487,0.036,0.24,-0.248,1332.8,229,0
GVT&D,-0.195,179.423,0.426,0.831,0.169,0.457,0.041,1.234,-0.193,5250.0,238,0
TVSHLTD,-0.198,7.825,0.309,0.95,0.05,0.374,0.032,0.205,-0.156,13287.0,227,0
YATHARTH,-0.208,28.131,0.384,0.903,0.097,0.501,0.037,0.54,-0.338,845.15,238,0
CIEINDIA,-0.208,7.343,0.29,0.992,0.008,0.394,0.031,0.025,-0.151,456.3,238,0
IKS,-0.219,25.222,0.325,0.992,0.008,0.454,0.033,0.027,-0.275,1673.4,238,0
THELEELA,-0.223,10.675,0.298,0.963,0.037,0.295,0.033,0.129,-0.163,457.6,238,0
BLISSGVS,-0.223,20.661,0.615,0.746,0.254,0.474,0.049,2.106,-0.302,482.95,238,0
PTCIL,-0.265,22.443,0.339,0.956,0.044,0.391,0.032,0.167,-0.232,17420.0,238,0
MOTILALOFS,-0.272,73.539,0.402,0.979,0.021,0.452,0.032,0.092,-0.424,948.15,238,0
PAISALO,-0.285,24.48,0.415,0.839,0.161,0.558,0.043,0.842,-0.248,58.51,238,0
SAIL,-0.293,244.406,0.353,0.913,0.087,0.49,0.03,0.366,-0.137,182.16,238,0
UNOMINDA,-0.305,87.874,0.333,0.996,0.004,0.487,0.03,0.017,-0.258,1097.9,238,0
BLUESTARCO,-0.309,74.288,0.318,1.0,0.0,0.458,0.03,0.001,-0.242,1706.3,238,0
LLOYDSME,-0.323,44.281,0.365,0.967,0.033,0.555,0.032,0.111,-0.305,1756.2,238,0
TEGA,-0.331,19.286,0.34,0.962,0.038,0.342,0.032,0.162,-0.262,1819.7,238,0
ASTRAMICRO,-0.345,31.12,0.41,0.868,0.132,0.472,0.037,0.629,-0.264,1670.0,238,0
INDIACEM,-0.373,11.204,0.334,0.974,0.026,0.518,0.032,0.108,-0.282,383.7,238,0
VTL,-0.379,11.427,0.368,0.913,0.087,0.53,0.035,0.315,-0.232,661.4,238,0
IPCALAB,-0.388,21.662,0.306,0.962,0.038,0.307,0.032,0.125,-0.177,1543.6,238,0
ARVIND,-0.389,11.066,0.379,0.887,0.113,0.558,0.035,0.455,-0.203,510.65,238,0
EQUITASBNK,-0.398,18.283,0.347,0.963,0.037,0.552,0.032,0.122,-0.274,77.7,238,0
AEGISLOG,-0.453,24.701,0.4,0.912,0.088,0.433,0.034,0.352,-0.333,1006.9,238,0
KSB,-0.465,6.337,0.3,0.985,0.015,0.548,0.032,0.047,-0.231,878.15,238,0
SCHAEFFLER,-0.474,22.814,0.297,0.983,0.017,0.355,0.029,0.057,-0.169,4186.0,238,0
VOLTAS,-0.492,127.965,0.309,0.994,0.006,0.483,0.029,0.023,-0.218,1357.6,238,0
APARINDS,-0.493,68.46,0.45,0.846,0.154,0.51,0.037,0.805,-0.28,15812.0,238,0
GESHIP,-0.495,42.047,0.344,0.907,0.093,0.385,0.032,0.441,-0.205,1412.1,238,0
SENORES,-0.495,17.182,0.434,0.815,0.185,0.35,0.04,1.252,-0.179,1315.4,238,0
ABSLAMC,-0.499,24.752,0.359,0.895,0.105,0.444,0.033,0.476,-0.201,1167.1,238,0
JKTYRE,-0.517,34.812,0.371,0.976,0.024,0.584,0.033,0.114,-0.417,397.25,238,0
BANDHANBNK,-0.522,117.355,0.371,0.96,0.04,0.5,0.028,0.145,-0.279,214.28,238,0
FINCABLES,-0.55,18.897,0.364,0.948,0.052,0.479,0.03,0.18,-0.276,1158.6,238,0
MANAPPURAM,-0.559,94.882,0.326,0.958,0.042,0.477,0.03,0.156,-0.215,321.35,238,0
POWERINDIA,-0.571,280.652,0.437,0.848,0.152,0.576,0.037,0.882,-0.287,36300.0,238,0
ADANIGREEN,-0.575,213.145,0.427,0.89,0.11,0.568,0.033,0.484,-0.329,1506.8,238,0
AVL,-0.578,8.444,0.369,0.868,0.132,0.471,0.039,0.679,-0.254,617.45,238,0
NATIONALUM,-0.58,280.789,0.391,0.872,0.128,0.413,0.03,0.933,-0.21,367.75,238,0
ELGIEQUIP,-0.607,17.617,0.342,0.966,0.034,0.527,0.031,0.125,-0.3,602.0,238,0
PREMIERENE,-0.61,106.735,0.336,1.0,0.0,0.573,0.033,0.001,-0.388,1057.7,238,0
PTC,-0.612,17.598,0.327,0.984,0.016,0.546,0.027,0.057,-0.23,188.95,238,0
MINDACORP,-0.614,13.589,0.324,0.935,0.065,0.521,0.032,0.248,-0.209,650.9,238,0
GAEL,-0.615,7.759,0.323,0.896,0.104,0.442,0.034,0.435,-0.138,158.78,238,0
KIMS,-0.618,23.581,0.329,0.96,0.04,0.486,0.031,0.151,-0.263,789.75,238,0
AGARWALEYE,-0.64,5.025,0.278,0.972,0.028,0.493,0.035,0.1,-0.255,444.8,238,0
ALIVUS,-0.643,6.567,0.282,0.979,0.021,0.356,0.032,0.062,-0.198,1060.0,238,0
TRITURBINE,-0.657,26.317,0.36,0.966,0.034,0.539,0.032,0.112,-0.348,674.15,238,0
CHOLAFIN,-0.661,226.123,0.33,0.985,0.015,0.388,0.027,0.056,-0.25,1688.9,238,0
SAILIFE,-0.67,40.412,0.351,0.884,0.116,0.368,0.033,0.548,-0.186,1206.8,238,0
CARBORUNIV,-0.676,11.24,0.347,0.941,0.059,0.512,0.031,0.196,-0.253,1192.2,238,0
UNIONBANK,-0.683,182.427,0.328,0.963,0.037,0.507,0.027,0.139,-0.214,176.12,238,0
TATACOMM,-0.705,47.043,0.341,0.964,0.036,0.539,0.032,0.125,-0.316,1942.0,238,0
NAVINFLUOR,-0.709,71.236,0.338,0.887,0.113,0.405,0.031,0.494,-0.125,7303.5,238,0
INOXINDIA,-0.712,7.167,0.35,0.882,0.118,0.495,0.034,0.456,-0.154,1812.4,238,0
AKUMS,-0.736,7.219,0.307,0.985,0.015,0.484,0.032,0.045,-0.287,601.7,238,0
