symbol,fyers_symbol,industry,cmp,avg_volume,avg_turnover,data_days,range_low,range_high,range_width_pts,range_width_pct,support_touches,resistance_touches,containment_pct,range_valid,range_reject,range_position,in_bottom_zone,below_range,breakdown,strong_downtrend,grid_gap_pts,total_levels,grids_to_bottom,order_qty,order_value,gross_profit,rt_cost,net_profit,init_buy_qty,cash_reserve,grid_viable,grid_reject,final_status,final_reason
TCS,NSE:TCS-EQ,Information Technology,2276.2,4121275,10098516719,60,2268.16,2647.84,379.68,16.74,5,5,96.7,True,,0.0212,True,False,False,False,19.0,20,1,7,15933.4,133.0,86.77,46.23,0,0,False,net profit ₹46 < min ₹50,GRID_FAIL,net profit ₹46 < min ₹50
HEROMOTOCO,NSE:HEROMOTOCO-EQ,Automobile and Auto Components,4967.5,583197,3058949453,60,4923.0,5767.7,844.7,17.16,12,4,96.7,True,,0.0527,True,False,False,False,42.25,21,2,3,14902.5,126.75,84.21,42.54,0,0,False,net profit ₹43 < min ₹50,GRID_FAIL,net profit ₹43 < min ₹50
POWERGRID,NSE:POWERGRID-EQ,Power,292.85,14231349,4302086836,60,288.82,323.09,34.27,11.86,8,11,96.7,True,,0.1176,False,False,False,False,1.7,21,3,72,21085.2,122.4,99.56,22.84,0,0,False,net profit ₹23 < min ₹50,NOT_IN_ZONE,pos=11.8%
BEL,NSE:BEL-EQ,Capital Goods,419.75,15962046,6966983406,60,406.85,467.99,61.14,15.03,5,6,96.7,True,,0.211,False,False,False,False,3.05,21,5,40,16790.0,122.0,88.9,33.1,0,0,False,net profit ₹33 < min ₹50,NOT_IN_ZONE,pos=21.1%
LUPIN,NSE:LUPIN-EQ,Healthcare,2259.7,1212797,2805162478,60,2224.45,2384.9,160.44,7.21,8,9,93.3,True,,0.2197,False,False,False,False,8.0,21,5,15,33895.5,120.0,131.38,-11.38,0,0,False,net profit ₹-11 < min ₹50,NOT_IN_ZONE,pos=22.0%
INFY,NSE:INFY-EQ,Information Technology,1168.7,13308068,16505935969,60,1120.85,1335.12,214.28,19.12,3,10,95.0,True,,0.2233,False,False,False,False,10.7,21,5,12,14024.4,128.4,82.03,46.37,0,0,False,net profit ₹46 < min ₹50,NOT_IN_ZONE,pos=22.3%
PATANJALI,NSE:PATANJALI-EQ,Fast Moving Consumer Goods,466.15,2118858,1001301056,60,448.14,518.27,70.13,15.65,7,2,93.3,True,,0.2568,False,False,False,False,3.5,21,6,0,0,0,0,0,0,0,False,grids_to_bottom 6 > 5,NOT_IN_ZONE,pos=25.7%
TVSMOTOR,NSE:TVSMOTOR-EQ,Automobile and Auto Components,3444.7,1035111,3671240338,60,3281.94,3909.09,627.15,19.11,4,2,93.3,True,,0.2595,False,False,False,False,31.35,21,6,0,0,0,0,0,0,0,False,grids_to_bottom 6 > 5,NOT_IN_ZONE,pos=26.0%
TITAN,NSE:TITAN-EQ,Consumer Durables,4099.5,1209571,5150561152,60,3939.18,4544.73,605.55,15.37,4,7,95.0,True,,0.2648,False,False,False,False,30.3,20,6,0,0,0,0,0,0,0,False,grids_to_bottom 6 > 5,NOT_IN_ZONE,pos=26.5%
JSL,NSE:JSL-EQ,Metals & Mining,726.35,756816,568199928,60,694.02,808.46,114.44,16.49,6,5,98.3,True,,0.2825,False,False,False,False,5.7,21,6,0,0,0,0,0,0,0,False,grids_to_bottom 6 > 5,NOT_IN_ZONE,pos=28.3%
CDSL,NSE:CDSL-EQ,Financial Services,1219.4,2163606,2693602025,60,1150.35,1373.98,223.63,19.44,5,3,91.7,True,,0.3088,False,False,False,False,11.2,20,7,0,0,0,0,0,0,0,False,grids_to_bottom 7 > 5,NOT_IN_ZONE,pos=30.9%
CIEINDIA,NSE:CIEINDIA-EQ,Automobile and Auto Components,457.3,550729,258658755,60,435.94,503.0,67.06,15.38,4,3,93.3,True,,0.3185,False,False,False,False,3.35,21,7,0,0,0,0,0,0,0,False,grids_to_bottom 7 > 5,NOT_IN_ZONE,pos=31.9%
CANHLIFE,NSE:CANHLIFE-EQ,Financial Services,140.15,1137481,163832132,60,134.53,152.03,17.49,13.0,8,9,98.3,True,,0.3213,False,False,False,False,0.9,20,7,0,0,0,0,0,0,0,False,grids_to_bottom 7 > 5,NOT_IN_ZONE,pos=32.1%
RELIANCE,NSE:RELIANCE-EQ,Oil Gas & Consumable Fuels,1358.0,19476669,26804222581,60,1309.85,1450.39,140.55,10.73,6,4,91.7,True,,0.3426,False,False,False,False,7.05,20,7,0,0,0,0,0,0,0,False,grids_to_bottom 7 > 5,NOT_IN_ZONE,pos=34.3%
SBILIFE,NSE:SBILIFE-EQ,Financial Services,1881.5,1304097,2445848021,60,1761.94,2094.28,332.34,18.86,5,3,96.7,True,,0.3598,False,False,False,False,16.6,21,8,0,0,0,0,0,0,0,False,grids_to_bottom 8 > 5,NOT_IN_ZONE,pos=36.0%
ICICIBANK,NSE:ICICIBANK-EQ,Financial Services,1281.2,18936055,24456007353,60,1209.53,1400.97,191.44,15.83,5,5,98.3,True,,0.3744,False,False,False,False,9.55,21,8,0,0,0,0,0,0,0,False,grids_to_bottom 8 > 5,NOT_IN_ZONE,pos=37.4%
MAXHEALTH,NSE:MAXHEALTH-EQ,Healthcare,992.55,2773337,2795905437,60,932.85,1091.81,158.96,17.04,7,3,91.7,True,,0.3756,False,False,False,False,7.95,21,8,0,0,0,0,0,0,0,False,grids_to_bottom 8 > 5,NOT_IN_ZONE,pos=37.6%
NAUKRI,NSE:NAUKRI-EQ,Consumer Services,975.7,2234986,2193734979,60,920.02,1066.49,146.46,15.92,9,5,93.3,True,,0.3802,False,False,False,False,7.3,21,8,0,0,0,0,0,0,0,False,grids_to_bottom 8 > 5,NOT_IN_ZONE,pos=38.0%
UNITDSPR,NSE:UNITDSPR-EQ,Fast Moving Consumer Goods,1291.8,1256586,1647317788,60,1213.31,1414.58,201.27,16.59,4,8,100.0,True,,0.39,False,False,False,False,10.05,21,8,0,0,0,0,0,0,0,False,grids_to_bottom 8 > 5,NOT_IN_ZONE,pos=39.0%
MUTHOOTFIN,NSE:MUTHOOTFIN-EQ,Financial Services,3331.2,944532,3172239183,60,3117.16,3642.11,524.94,16.84,3,6,95.0,True,,0.4077,False,False,False,False,26.25,21,9,0,0,0,0,0,0,0,False,grids_to_bottom 9 > 5,NOT_IN_ZONE,pos=40.8%
TATACAP,NSE:TATACAP-EQ,Financial Services,317.15,2149565,690734755,60,300.04,341.41,41.37,13.79,6,9,96.7,True,,0.4136,False,False,False,False,2.05,21,9,0,0,0,0,0,0,0,False,grids_to_bottom 9 > 5,NOT_IN_ZONE,pos=41.4%
ITC,NSE:ITC-EQ,Fast Moving Consumer Goods,301.4,20572941,6262465393,60,289.51,318.07,28.56,9.87,8,6,95.0,True,,0.4163,False,False,False,False,1.45,20,9,0,0,0,0,0,0,0,False,grids_to_bottom 9 > 5,NOT_IN_ZONE,pos=41.6%
HINDUNILVR,NSE:HINDUNILVR-EQ,Fast Moving Consumer Goods,2204.9,1982513,4390940105,60,2045.99,2387.37,341.38,16.69,6,9,98.3,True,,0.4655,False,False,False,False,17.05,21,10,0,0,0,0,0,0,0,False,grids_to_bottom 10 > 5,NOT_IN_ZONE,pos=46.5%
JIOFIN,NSE:JIOFIN-EQ,Financial Services,240.6,19345088,4658840463,60,226.06,257.28,31.22,13.81,6,6,96.7,True,,0.4657,False,False,False,False,1.55,21,10,0,0,0,0,0,0,0,False,grids_to_bottom 10 > 5,NOT_IN_ZONE,pos=46.6%
KOTAKBANK,NSE:KOTAKBANK-EQ,Financial Services,387.6,20146398,7619729082,60,354.83,422.57,67.74,19.09,4,2,93.3,True,,0.4838,False,False,False,False,3.4,20,10,0,0,0,0,0,0,0,False,grids_to_bottom 10 > 5,NOT_IN_ZONE,pos=48.4%
NHPC,NSE:NHPC-EQ,Power,78.57,16544230,1293693503,60,72.4,84.62,12.22,16.88,8,5,93.3,True,,0.5049,False,False,False,False,0.6,21,11,0,0,0,0,0,0,0,False,grids_to_bottom 11 > 5,NOT_IN_ZONE,pos=50.5%
BHARTIARTL,NSE:BHARTIARTL-EQ,Telecommunication,1853.9,10133708,18730455924,60,1755.78,1942.59,186.81,10.64,7,5,98.3,True,,0.5252,False,False,False,False,9.35,20,11,0,0,0,0,0,0,0,False,grids_to_bottom 11 > 5,NOT_IN_ZONE,pos=52.5%
